Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
u-100-insulin-syringes,U-100 insulin syringes,"<p>A fixed needle and a unit scale, which is what makes a small dose readable. The finer gauges are noticeably more comfortable and slightly slower to draw.</p><h2>What a U-100 insulin syringe is</h2><p>U-100 means the barrel is graduated for insulin at a concentration of 100 units per millilitre. One hundred units fills one millilitre, so a unit mark is one hundredth of a millilitre. That is the whole reason these exist: at that scale a millilitre scale is unreadable, and a unit scale is not.</p><p>The needle is fixed rather than screwed on, which removes the dead space where a luer fitting would be. On a small dose that dead space is a meaningful share of what you drew up, which is why a fixed needle syringe is the standard choice for anything measured in units rather than millilitres.</p><p>These are single use and sterilised with ethylene oxide. They are consumables. Whatever goes in them comes from your pharmacy on a prescription, and we have nothing to do with that part.</p><h2>Which gauge and length to choose</h2><p>Gauge is thickness and the scale runs backwards, so 31G is finer than 29G. A finer needle is noticeably more comfortable and draws more slowly, because you are pulling the same volume through a smaller hole. A thicker one fills faster and is easier to feel going in.</p><p>Length decides what layer you land in. For an injection into the fat under the skin, the shortest needle available is the one to reach for, and Australian and international diabetes guidance has moved that way for exactly this reason: a short needle is very unlikely to reach muscle whatever your body size.</p><p>If you are not certain which pair you want, the Gauge Finder asks three plain questions and tells you, without asking what you are injecting.</p><h2>Specifications</h2><table><tr><th>Barrel</th><td>1.0mL and 0.5mL</td></tr><tr><th>Graduation</th><td>1 unit</td></tr><tr><th>Needle</th><td>Fixed, pre-attached</td></tr><tr><th>Dead space</th><td>Low</td></tr><tr><th>Material</th><td>DEHP free, PVC free</td></tr><tr><th>Sterilisation</th><td>Ethylene oxide</td></tr></table>",Good Practice Supply,Syringes & needles,"syringes-needles,insulin,syringe,launch-range",FALSE,Gauge and length,27G × 13mm,Pack,Box of 100,GPS-SYR-U-100-INSULIN-SYRINGES-0101,0,shopify,0,deny,manual,47.76,TRUE,TRUE,https://d8j0ntlcm91z4.cloudfront.net/user_302vtY04kC9nbtUjJJAhLoDVMFw/hf_20260912_014655_c87ec5d7-96f6-4729-b6ef-fc062184ab3f.png,1,U-100 insulin syringes,"U-100 insulin syringes, box of 100","U-100 insulin syringes with a fixed needle, 27G to 31G, graduated in units. Box of 100, priced on the page, no account needed. Dispatched from Sydney.",draft
u-100-insulin-syringes,,,,,,,Gauge and length,27G × 13mm,Pack,Box of 200,GPS-SYR-U-100-INSULIN-SYRINGES-0102,0,shopify,0,deny,manual,89.90,TRUE,TRUE,,,,,,
u-100-insulin-syringes,,,,,,,Gauge and length,27G × 13mm,Pack,Carton of 500,GPS-SYR-U-100-INSULIN-SYRINGES-0103,0,shopify,0,deny,manual,204.50,TRUE,TRUE,,,,,,
u-100-insulin-syringes,,,,,,,Gauge and length,29G × 13mm,Pack,Box of 100,GPS-SYR-U-100-INSULIN-SYRINGES-0201,0,shopify,0,deny,manual,47.76,TRUE,TRUE,,,,,,
u-100-insulin-syringes,,,,,,,Gauge and length,29G × 13mm,Pack,Box of 200,GPS-SYR-U-100-INSULIN-SYRINGES-0202,0,shopify,0,deny,manual,89.90,TRUE,TRUE,,,,,,
u-100-insulin-syringes,,,,,,,Gauge and length,29G × 13mm,Pack,Carton of 500,GPS-SYR-U-100-INSULIN-SYRINGES-0203,0,shopify,0,deny,manual,204.50,TRUE,TRUE,,,,,,
u-100-insulin-syringes,,,,,,,Gauge and length,30G × 8mm,Pack,Box of 100,GPS-SYR-U-100-INSULIN-SYRINGES-0301,0,shopify,0,deny,manual,47.76,TRUE,TRUE,,,,,,
u-100-insulin-syringes,,,,,,,Gauge and length,30G × 8mm,Pack,Box of 200,GPS-SYR-U-100-INSULIN-SYRINGES-0302,0,shopify,0,deny,manual,89.90,TRUE,TRUE,,,,,,
u-100-insulin-syringes,,,,,,,Gauge and length,30G × 8mm,Pack,Carton of 500,GPS-SYR-U-100-INSULIN-SYRINGES-0303,0,shopify,0,deny,manual,204.50,TRUE,TRUE,,,,,,
u-100-insulin-syringes,,,,,,,Gauge and length,31G × 6mm,Pack,Box of 100,GPS-SYR-U-100-INSULIN-SYRINGES-0401,0,shopify,0,deny,manual,47.76,TRUE,TRUE,,,,,,
